flowStartMilliseconds,flowDurationMilliseconds,sourceIPAddress,destinationIPAddress,protocolIdentifier,packetTotalCount
1438318803250,0,201.126.50.225,24.47.159.155,1,1
1438318803250,0,201.126.50.225,162.82.156.127,1,1
1438318803250,0,201.126.50.225,110.249.216.49,1,1
1438318803250,0,95.60.81.227,201.126.50.225,1,1
1438318803250,0,201.126.50.225,203.151.130.6,1,1
1438318803250,0,201.126.50.225,74.129.123.113,1,1
1438318803250,0,201.126.50.225,73.18.83.80,1,1
1438318803250,0,201.126.50.225,209.228.149.180,1,1
1438318803250,0,201.126.50.225,170.31.121.171,1,1
1438318803250,0,134.215.241.247,163.7.241.41,1,1
1438318803250,0,102.47.169.66,134.215.207.1,6,1
1438318803251,0,201.126.50.225,56.124.147.52,1,1
1438318803251,0,201.126.50.225,83.124.31.120,1,1
1438318803251,0,201.126.50.225,64.251.243.206,1,1
1438318803251,0,201.126.50.225,78.61.185.61,1,1
1438318803251,0,209.255.121.19,200.55.7.152,6,1
1438318803251,0,191.80.83.49,134.138.171.69,6,1
1438318803251,0,163.180.212.181,134.138.171.150,6,1
1438318803251,0,134.215.207.21,200.255.196.181,1,1
1438318803251,0,106.236.207.93,201.126.50.225,1,1
1438318803251,0,174.76.23.176,145.187.215.110,6,1
1438318803252,0,201.126.50.225,53.147.39.126,1,1
1438318803252,0,201.126.50.225,126.232.67.132,1,1
1438318803252,0,201.126.50.225,94.30.111.208,1,1
1438318803252,0,201.126.50.225,47.104.51.54,1,1
1438318803252,0,201.126.50.225,68.16.206.217,1,1
1438318803252,0,201.126.50.225,93.75.228.94,1,1
1438318803252,0,201.126.50.225,1.227.164.64,1,1
1438318803252,0,201.126.50.225,127.64.83.218,1,1
1438318803252,0,103.25.53.67,182.55.158.28,6,1
1438318803252,0,201.126.50.225,93.38.44.240,1,1
1438318803252,0,201.126.50.225,168.181.126.93,1,1
1438318803252,0,201.126.50.225,27.104.185.239,1,1
1438318803252,0,201.126.50.225,99.164.198.74,1,1
1438318803252,0,201.126.50.225,160.146.80.216,1,1
1438318803252,0,124.111.135.29,145.182.67.186,6,1
1438318803252,0,173.10.123.95,201.126.50.225,1,1
1438318803252,0,201.126.50.225,170.53.194.97,1,1
1438318803252,0,201.126.50.225,164.63.31.74,1,1
1438318803252,0,201.126.50.225,118.101.156.190,1,1
1438318803252,0,182.55.235.104,98.117.39.150,17,1
1438318803252,0,201.126.50.225,135.61.250.183,1,1
1438318803252,0,201.126.50.225,64.92.139.55,1,1
1438318803252,0,201.126.50.225,94.38.205.182,1,1
1438318803252,0,99.160.218.255,201.126.50.225,1,1
1438318803252,0,201.126.50.225,73.51.152.247,1,1
1438318803252,0,201.126.50.225,19.55.196.140,1,1
1438318803252,0,201.126.50.225,164.240.236.174,1,1
1438318803252,0,201.126.50.225,209.193.155.56,1,1
1438318803252,0,201.126.50.225,4.191.44.224,1,1
1438318803252,0,201.126.50.225,172.98.182.52,1,1
1438318803252,0,201.126.50.225,71.203.137.194,1,1
1438318803253,0,201.126.50.225,90.186.162.131,1,1
1438318803253,0,201.126.50.225,103.125.131.12,1,1
1438318803253,0,221.22.136.31,201.126.50.225,1,1
1438318803253,0,103.25.53.67,182.55.158.24,6,1
1438318803253,0,103.25.53.67,182.55.158.84,6,1
1438318803253,0,1e12:92d2:4d7d:1b5f:f3b3:f02b:6f99:958c,1e12:4c65:fcf2:6605:6fe7:bfed:be6b:4804,58,1
1438318803253,0,201.126.50.225,69.21.176.103,1,1
1438318803253,0,91.33.209.21,201.126.50.225,1,1
1438318803254,0,82.107.254.75,201.126.50.225,1,1
1438318803254,0,183.36.135.121,201.126.50.225,1,1
1438318803254,0,169.199.171.62,201.126.50.225,1,1
1438318803254,0,103.5.32.246,145.182.64.207,6,1
1438318803254,0,203.155.41.109,201.126.50.225,1,1
1438318803254,0,201.126.47.177,18.123.209.217,6,1
1438318803254,0,201.126.50.225,87.230.192.87,1,1
1438318803254,0,162.4.164.54,182.55.34.126,6,1
1438318803254,0,9.215.173.236,201.126.50.225,1,1
1438318803254,0,201.126.50.225,169.95.206.94,1,1
1438318803254,0,18.123.209.217,201.126.40.115,6,1
1438318803254,0,201.126.50.225,151.248.201.95,1,1
1438318803254,0,201.126.50.225,169.5.117.113,1,1
1438318803254,0,56.99.156.142,201.126.50.225,1,1
1438318803254,0,201.126.50.225,73.81.247.87,1,1
1438318803254,0,201.126.50.225,67.72.231.36,1,1
1438318803254,0,16.11.75.29,201.126.50.225,1,1
1438318803254,0,1.216.22.66,201.126.50.225,1,1
1438318803255,0,163.45.202.56,145.182.64.207,6,1
1438318803255,0,102.29.52.96,134.138.170.171,6,1
1438318803255,0,201.126.50.225,202.146.97.242,1,1
1438318803255,0,162.89.139.144,134.215.207.1,6,1
1438318803255,0,201.126.50.225,88.254.227.64,1,1
1438318803255,0,201.126.50.225,41.213.116.169,1,1
1438318803255,0,201.126.50.225,174.164.139.121,1,1
